medico,comentarios,Data,del
luiz guilherme de siqueira flora,"M
Michael
Perfil verificado
25 de fevereiro de 2024 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Ótimo atendimento, procura fazer uma boa análise clínica antes de dar qlq diagnóstico.
Solicitar revisão",2024-02-25 00:00:00,0
luiz guilherme de siqueira flora,"Ótimo atendimento, procura fazer uma boa análise clínica antes de dar qlq diagnóstico.",,1
luiz guilherme de siqueira flora,"A
Andre
Perfil verificado
23 de fevereiro de 2024 • Consulta marcada na doctoralia.com.br
• Local: Consulta online • Teleconsulta
Atendimento humano e atencioso. Raridade entre psiquiatras
Solicitar revisão",2024-02-23 00:00:00,0
luiz guilherme de siqueira flora,Atendimento humano e atencioso. Raridade entre psiquiatras,,1
luiz guilherme de siqueira flora,"V
Viviane S. Ortiz
Perfil verificado
23 de fevereiro de 2024 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Maravilhosa consulta, fiquei muito feliz . Consultório aconchegante, Dr. Muito atencioso. Parabéns
Solicitar revisão",2024-02-23 00:00:00,0
luiz guilherme de siqueira flora,"Maravilhosa consulta, fiquei muito feliz . Consultório aconchegante, Dr. Muito atencioso. Parabéns",,1
luiz guilherme de siqueira flora,"C
Cláudia maiara tde oliveira
Perfil verificado
16 de fevereiro de 2024 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Passei hoje pela consulta com ele pela primeira vez, e já faço a questão de deixar o meu comentário e a minha recomendação .
O Dr.Luiz Guilherme é o médico mais empático e gentil que já conheci. Sabe ouvir ,é respeitoso. Vale a pena com certeza!
Solicitar revisão",2024-02-16 00:00:00,0
luiz guilherme de siqueira flora,"Passei hoje pela consulta com ele pela primeira vez, e já faço a questão de deixar o meu comentário e a minha recomendação .
O Dr.Luiz Guilherme é o médico mais empático e gentil que já conheci. Sabe ouvir ,é respeitoso. Vale a pena com certeza!",,1
luiz guilherme de siqueira flora,"L
Lindaura. Cristiane
13 de fevereiro de 2024
Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Ótimo medico super indico nota 10 vale a pena consulta sem pressa muito atencioso .
Solicitar revisão",2024-02-13 10:00:00,0
luiz guilherme de siqueira flora,Ótimo medico super indico nota 10 vale a pena consulta sem pressa muito atencioso .,2024-03-10 00:00:00,0
luiz guilherme de siqueira flora,"J
Jadir Valter da Silva Mello
Perfil verificado
8 de fevereiro de 2024 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Primeira consulta, muita satisfeita com o atendimento. Do início ao do atendimento.
Solicitar revisão",2024-02-08 00:00:00,0
luiz guilherme de siqueira flora,"Primeira consulta, muita satisfeita com o atendimento. Do início ao do atendimento.",,1
luiz guilherme de siqueira flora,"M
Marcia Regins Ribeiro da Silva
Perfil verificado
1 de fevereiro de 2024 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Ótimo profissional. Gratidão por tudo. Deus abencoe
Solicitar revisão",2024-02-01 00:00:00,0
luiz guilherme de siqueira flora,Ótimo profissional. Gratidão por tudo. Deus abencoe,,1
luiz guilherme de siqueira flora,"J
Jenyfer Lopes Silva
Perfil verificado
29 de janeiro de 2024 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Então passei com o doutor Luiz né um amor de pessoa excelente médico psiquiatra ele vai a fundo mesmo perguntas sobre o que aconteceu na infância na adolescência ele vai a fundo mesmo nas perguntas e eu gostei muito do atendimento e recomendo a vocês...
Solicitar revisão",2024-01-29 00:00:00,0
luiz guilherme de siqueira flora,Então passei com o doutor Luiz né um amor de pessoa excelente médico psiquiatra ele vai a fundo mesmo perguntas sobre o que aconteceu na infância na adolescência ele vai a fundo mesmo nas perguntas e eu gostei muito do atendimento e recomendo a vocês...,,1
luiz guilherme de siqueira flora,"L
Luciana Redigolo
Perfil verificado
12 de janeiro de 2024 • Consulta marcada na doctoralia.com.br
• Local: Dr. Luiz Guilherme - Flora & Cobianchi...mais
Otima experiência
Dr. Nos deixou bem confortáveis durante a consulta . Meu filho está iniciando tratamento e temos grandes expectativas
Solicitar revisão",2024-01-12 00:00:00,0
luiz guilherme de siqueira flora,"Otima experiência
Dr. Nos deixou bem confortáveis durante a consulta . Meu filho está iniciando tratamento e temos grandes expectativas",,1
